price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
136680,Novo Naselje,81,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,novo
136990,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,4,2000.0,novo
190550,Stari Grad,101,6.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2000.0,novo
79310,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2005.0,u izgradnji
152440,Liman 3,73,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,1970.0,u izgradnji
169430,Liman 3,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0,u izgradnji
104030,Salajka,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2022.0,u izgradnji
70450,Bulevar Oslobođenja,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,u izgradnji
182500,Podbara,70,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,5,2010.0,u izgradnji
125580,Podbara,91,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2010.0,renovirano
99000,Podbara,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, terasa, lođa",1,2010.0,novo
74000,Podbara,29,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
158050,Petrovaradin,93,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,terasa,4,2020.0,novo
328800,Liman 2,100,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,renovirano
125000,Bulevar Patrijarha Pavla,71,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2020.0,novo
175000,Nova Detelinara,74,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
165000,Bulevar Evrope,82,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,"dvorište, terasa",1,2020.0,uobičajeno stanje
125960,Klisa,81,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,uobičajeno stanje
149350,Rotkvarija,63,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2020.0,uobičajeno stanje
133500,Novo Naselje,72,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1985.0,uobičajeno stanje
375950,Rotkvarija,181,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2023.0,u izgradnji
89900,Novo Naselje,37,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2015.0,uobičajeno stanje
74160,Novo Naselje,41,1.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1986.0,uobičajeno stanje
95000,Telep,35,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1986.0,novo
97850,Nova Detelinara,38,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,6,1986.0,novo
136000,Detelinara,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1986.0,novo
164800,Grbavica,66,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1986.0,novo
87550,Novo Naselje,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1990.0,uobičajeno stanje
92700,Rotkvarija,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,5,2004.0,uobičajeno stanje
41200,Adice,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
50000,Adice,37,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
67980,Stari Grad,30,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1966.0,uobičajeno stanje
98500,Nova Detelinara,49,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1993.0,u izgradnji
108920,Sajmište,45,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2017.0,uobičajeno stanje
200230,Salajka,108,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2017.0,uobičajeno stanje
336800,Grbavica,218,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),2,terase (2),5,2017.0,uobičajeno stanje
158000,Socijalno,93,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,5,2017.0,uobičajeno stanje
79000,Sajmište,32,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,2,1993.0,uobičajeno stanje
143000,Nova Detelinara,83,4.0,centralno grejanje,0,Dupleks,ima lift (1),2,terasa,2,1993.0,uobičajeno stanje
88580,Tatarsko Brdo,35,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,1,2020.0,novo
79850,Salajka,25,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,3,2022.0,u izgradnji
289000,Telep,125,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2023.0,u izgradnji
225000,Cara Dušana,90,4.0,etažno grejanje,0,Stan u zgradi,ima lift (2),1,terasa,2,2023.0,novo
252000,Liman 4,97,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"tavan, terase (2)",6,2000.0,novo
107070,Kej,63,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1975.0,uobičajeno stanje
118450,Železnička stanica,56,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1980.0,uobičajeno stanje
135000,Bulevar Oslobođenja,82,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1971.0,uobičajeno stanje
279000,Telep,151,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0,u izgradnji
99910,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2022.0,u izgradnji
62750,Petrovaradin,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,6,1985.0,u izgradnji
95000,Podbara,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2021.0,u izgradnji
108000,Sajmište,54,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0,uobičajeno stanje
211150,Lipov Gaj,130,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2007.0,novo
89610,Socijalno,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
94000,Stari Grad,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
175000,Salajka,68,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2022.0,novo
108000,Socijalno,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0,novo
75000,Petrovaradin,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0,u izgradnji
103000,Adice,62,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2013.0,u izgradnji
112800,Novo Naselje,57,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",3,1980.0,u izgradnji
60500,Novo Naselje,48,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",1,1980.0,potrebno renoviranje
246000,Liman 2,102,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2023.0,renovirano
207600,Stari Grad,72,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
129380,Adice,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
100625,Veternik,75,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
134444,Veternik,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0,novo
270000,Železnička stanica,125,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
87650,Podbara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,renovirano
71370,Novo Naselje,33,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,renovirano
135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
113000,Nova Detelinara,50,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
131976,Podbara,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
127300,Podbara,51,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
164590,Petrovaradin,79,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
92000,Stari Grad,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1998.0,novo
83316,Veternik,45,3.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,u izgradnji
164500,Rotkvarija,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
197760,Stari Grad,108,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
310000,Liman 4,108,3.0,grejanje na gas,2,Penthaus,ima lift (1),1,terasa,8,1998.0,novo
126440,Petrovaradin,64,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
35000,Petrovaradin,50,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
117500,Podbara,48,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1998.0,novo
82400,Detelinara,52,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1970.0,uobičajeno stanje
288500,Stari Grad,154,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0,uobičajeno stanje
88690,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1970.0,novo
346600,Liman 3,102,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1970.0,novo
122570,Stari Grad,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1970.0,uobičajeno stanje
113300,Novo Naselje,63,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1979.0,uobičajeno stanje
110500,Sajmište,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
94000,Adice,58,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
58980,Telep,29,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0,u izgradnji
193500,Socijalno,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0,u izgradnji
249000,Tatarsko Brdo,117,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terase (2),1,2014.0,u izgradnji
185000,Liman,77,3.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,terase (2),12,2014.0,održavano
96000,Bulevar Patrijarha Pavla,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (2),1,terasa,2,2014.0,u izgradnji
131500,Sajmište,46,2.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,"dvorište, podrum",2,2014.0,u izgradnji
109000,Petrovaradin,53,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,"dvorište, podrum",1,2014.0,novo
