,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
93,230000,Bulevar Oslobođenja,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (2),1,terasa,4,1900.0,renovirano
94,200000,Bulevar Oslobođenja,110,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, podrum",5,2020.0,luksuzno
95,122000,Nova Detelinara,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2010.0,luksuzno
96,110000,Socijalno,50,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa, lođa",9,2010.0,luksuzno
97,173200,Sajmište,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, terasa",1,2020.0,novo
98,92000,Petrovaradin,89,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"dvorište, terasa",2,2020.0,novo
99,128750,Telep,77,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
100,199000,Stari Grad,76,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2020.0,novo
101,118450,Železnička stanica,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"prilaz za invalide, terasa, lođa",5,2020.0,renovirano
102,92499,Petrovaradin,40,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2020.0,novo
103,126850,Adice,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
104,512000,Telep,113,5.0,etažno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2020.0,novo
105,101000,Telep,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0,uobičajeno stanje
106,247200,Novo Naselje,83,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0,uobičajeno stanje
107,136500,Grbavica,49,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,7,2014.0,novo
108,160700,Novo Naselje,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",3,2014.0,uobičajeno stanje
109,73550,Stari Grad,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2014.0,uobičajeno stanje
110,245000,Podbara,85,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2016.0,novo
111,711000,Bulevar Evrope,230,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,11,2016.0,novo
112,540000,Spens,163,5.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terase (3+),2,2000.0,održavano
113,171065,Telep,72,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
114,123600,Telep,57,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,novo
115,136680,Novo Naselje,81,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,novo
116,136990,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,4,2000.0,novo
117,190550,Stari Grad,101,6.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2000.0,novo
118,79310,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2005.0,u izgradnji
119,152440,Liman 3,73,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,1970.0,u izgradnji
120,169430,Liman 3,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0,u izgradnji
121,104030,Salajka,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2022.0,u izgradnji
122,70450,Bulevar Oslobođenja,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,u izgradnji
123,182500,Podbara,70,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,5,2010.0,u izgradnji
124,125580,Podbara,91,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2010.0,renovirano
125,99000,Podbara,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, terasa, lođa",1,2010.0,novo
126,74000,Podbara,29,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
127,158050,Petrovaradin,93,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,terasa,4,2020.0,novo
128,328800,Liman 2,100,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,renovirano
129,125000,Bulevar Patrijarha Pavla,71,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2020.0,novo
130,175000,Nova Detelinara,74,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
131,165000,Bulevar Evrope,82,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,"dvorište, terasa",1,2020.0,uobičajeno stanje
132,125960,Klisa,81,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,uobičajeno stanje
133,149350,Rotkvarija,63,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2020.0,uobičajeno stanje
134,133500,Novo Naselje,72,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1985.0,uobičajeno stanje
135,375950,Rotkvarija,181,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2023.0,u izgradnji
136,89900,Novo Naselje,37,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2015.0,uobičajeno stanje
137,74160,Novo Naselje,41,1.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1986.0,uobičajeno stanje
138,95000,Telep,35,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1986.0,novo
