,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
762,144200.0,Bistrica,5,centralno grejanje,terase (2),prazno,"telefon, kablovska, klima",84 ,4,Stan u zgradi
763,120500.0,Adamovićevo Naselje,2,centralno grejanje,terase (2),prazno,"telefon, kablovska, klima",49 ,1,Stan u zgradi
764,53000.0,Salajka,1,grejanje na gas,terase (2),namešteno,"telefon, kablovska",25 ,prizemlje,Stan u zgradi
765,53000.0,Salajka,1,grejanje na gas,terase (2),namešteno,"telefon, kablovska",25 ,prizemlje,Stan u zgradi
766,180000.0,Stari Grad,3,centralno grejanje,terasa,prazno,"telefon, kablovska, internet, klima",71 ,visoko,Stan u zgradi
767,326430.0,Bulevar Oslobođenja,4,centralno grejanje,terasa,polunamešteno,"telefon, kablovska, internet",134 ,6,Stan u zgradi
768,133900.0,Novo Naselje,2.5,centralno grejanje,terasa,polunamešteno,"telefon, kablovska, internet",49 ,visoko,Stan u zgradi
769,175100.0,Nova Detelinara,2,grejanje na gas,terasa,polunamešteno,"telefon, kablovska, internet",45 ,1,Stan u zgradi
770,135950.0,BUL.CARA LAZARA,3,centralno grejanje,terasa,polunamešteno,"telefon, kablovska, internet",64 ,1,Stan u zgradi
771,53000.0,Salajka,1,grejanje na gas,terasa,polunamešteno,"telefon, kablovska, internet",25 ,prizemlje,Stan u zgradi
772,203893.0,Čika Stevina,3.5,centralno grejanje,terase (2),prazno,klima,91 ,4,Stan u zgradi
773,53000.0,Salajka,1,grejanje na gas,terase (2),namešteno,klima,25 ,prizemlje,Stan u zgradi
774,103500.0,Centar,0.5,grejanje na gas,terasa,namešteno,klima,30 ,3,Stan u zgradi
775,123600.0,Stari Grad,2.5,grejanje na gas,terasa,prazno,klima,81 ,1,Stan u zgradi
776,130000.0,SREMSKA,2.5,centralno grejanje,terasa,prazno,klima,49 ,2,Stan u zgradi
777,72100.0,Adice,1.5,grejanje na struju,terasa,namešteno,klima,35 ,1,Stan u zgradi
778,114020.0,Bulevar Patrijarha Pavla (Somborski Bulevar),2,grejanje na gas,terasa,prazno,klima,58 ,1,Stan u zgradi
779,494400.0,Centar,8,centralno grejanje,terasa,prazno,klima,285 ,2,Stan u zgradi
780,85000.0,Nova Detelinara,0.5,centralno grejanje,terasa,prazno,klima,49 ,1,Stan u zgradi
